                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     12,                0.83333,                   1.17,                 1.3176,                0.37894,                0.31579,                0.22236,                0.12603,                 1.6285,                 2.6577,                 2.2809,              0.0015644,              0.0015644,              0.0015644
                     13,                0.82378,                 1.1103,                 1.3071,                 0.3629,                0.42105,                0.23574,                0.11644,                 1.8185,                 2.3255,                 2.5438,              0.0015248,              0.0015248,              0.0015248
                     14,                0.79224,                 1.0559,                 1.2884,                0.38089,                0.26316,                0.20068,                0.12276,                 1.2976,                 2.4057,                  1.823,              0.0014852,              0.0014852,              0.0014852
                     15,                0.84498,                 1.0072,                 1.2915,                0.81537,                0.42105,                0.40904,                0.28664,                0.93892,                 1.5869,                 1.6207,              0.0014456,              0.0014456,              0.0014456
                     16,                0.77952,                0.95107,                  1.258,                0.72233,                0.57895,                0.61391,                0.43136,                0.98899,                 1.4544,                 1.7789,               0.001406,               0.001406,               0.001406
                     17,                0.78431,                0.93697,                 1.2536,                0.70908,                0.42105,                0.35754,                0.26727,                0.84379,                 1.4315,                 1.5255,              0.0013664,              0.0013664,              0.0013664
                     18,                0.78579,                0.92104,                 1.2603,                0.50917,                0.63158,                0.45351,                0.35189,                0.86352,                 1.6651,                 1.5751,              0.0013268,              0.0013268,              0.0013268
                     19,                0.82045,                0.89967,                  1.281,                 0.4639,                0.73684,                0.60464,                 0.4458,                0.96703,                 1.5144,                 1.4896,              0.0012872,              0.0012872,              0.0012872
                     20,                0.70052,                0.81464,                 1.1823,                0.55019,                0.47368,                0.47436,                0.35273,                0.91516,                 1.2023,                 1.6692,              0.0012476,              0.0012476,              0.0012476
                     21,                0.71684,                0.82746,                 1.2076,                0.74811,                0.62562,                0.57953,                0.39924,                0.99819,                 1.2817,                 1.6753,               0.001208,               0.001208,               0.001208
                     22,                 0.6878,                0.77975,                 1.1805,                0.81228,                0.45659,                0.57716,                0.36489,                0.88966,                 1.5663,                 1.4671,              0.0011684,              0.0011684,              0.0011684
                     23,                0.65174,                 0.7434,                 1.1496,                 0.7575,                0.63158,                0.60463,                0.46901,                0.89436,                0.97605,                 1.6875,              0.0011288,              0.0011288,              0.0011288
                     24,                0.76313,                0.80892,                 1.2498,                0.80173,                0.52632,                0.54512,                0.41471,                0.79053,                 0.9636,                 1.3352,              0.0010892,              0.0010892,              0.0010892
                     25,                0.69247,                0.73757,                 1.1913,                 0.7787,                0.63158,                0.65706,                0.51569,                0.78592,                 1.1509,                 1.4967,              0.0010496,              0.0010496,              0.0010496
                     26,                0.66423,                0.73509,                 1.1609,                0.67657,                0.47368,                0.42233,                0.28394,                0.82223,                0.94616,                 1.6919,                0.00101,                0.00101,                0.00101
                     27,                0.63448,                0.66353,                 1.1427,                0.89202,                0.52632,                0.50707,                0.37695,                0.75843,                 0.8869,                 1.5215,              0.0009704,              0.0009704,              0.0009704
                     28,                0.67392,                0.68457,                 1.1704,                 0.6168,                0.26316,                0.24796,                0.17724,                0.73601,                 1.1243,                 1.5556,              0.0009308,              0.0009308,              0.0009308
                     29,                0.67895,                0.71244,                 1.1887,                0.62463,                 0.2628,                0.25128,                0.19882,                0.80378,                  1.243,                 1.4249,              0.0008912,              0.0008912,              0.0008912
                     30,                0.63023,                0.62268,                 1.1177,                0.50071,                0.26316,                0.23572,                0.17781,                0.77158,                 1.2127,                 1.4588,              0.0008516,              0.0008516,              0.0008516
                     31,                0.67049,                0.65777,                 1.1938,                0.48267,                0.21053,                0.17706,                0.10232,                0.82807,                0.98948,                 1.4343,               0.000812,               0.000812,               0.000812
                     32,                0.65614,                0.63334,                 1.1379,                0.44071,                0.15789,                0.11257,                0.07961,                0.66902,                0.89271,                 1.2408,              0.0007724,              0.0007724,              0.0007724
                     33,                0.68249,                0.63115,                 1.1596,                0.73266,                0.31579,                0.30994,                 0.2393,                0.72785,                0.81407,                 1.3202,              0.0007328,              0.0007328,              0.0007328
                     34,                0.63365,                0.63511,                 1.1651,                0.97158,                0.26316,                0.29466,                0.21725,                0.79703,                0.77158,                 1.4614,              0.0006932,              0.0006932,              0.0006932
                     35,                0.61157,                0.63596,                 1.1313,                0.88071,                0.42105,                0.43798,                0.35239,                0.63233,                0.63605,                 1.2093,              0.0006536,              0.0006536,              0.0006536
                     36,                0.60205,                 0.5528,                 1.1226,                 0.6171,                0.36842,                0.36829,                0.31171,                0.62285,                0.73771,                 1.2288,               0.000614,               0.000614,               0.000614
                     37,                0.57566,                0.54799,                 1.0929,                0.77753,                0.36796,                0.34936,                0.28951,                0.60493,                0.60401,                 1.2234,              0.0005744,              0.0005744,              0.0005744
                     38,                0.56015,                0.51699,                  1.094,                0.73798,                0.31579,                0.27893,                0.22818,                0.68136,                0.57759,                 1.3438,              0.0005348,              0.0005348,              0.0005348
                     39,                0.59106,                0.55333,                 1.1281,                0.86384,                0.36842,                0.34929,                0.30328,                0.61645,                0.58074,                 1.1766,              0.0004952,              0.0004952,              0.0004952
                     40,                0.54129,                0.49164,                 1.0715,                0.70595,                0.26316,                0.24225,                0.18187,                0.62475,                0.63544,                 1.1778,              0.0004556,              0.0004556,              0.0004556
                     41,                  0.461,                0.65502,                 1.0838,                 0.7256,                0.41782,                0.44383,                0.35667,                0.64096,                0.78794,                 1.1802,               0.000416,               0.000416,               0.000416
                     42,                0.41153,                0.46856,                 1.0474,                0.77482,                0.36282,                0.34223,                0.25254,                0.72784,                0.98449,                 1.3698,              0.0003764,              0.0003764,              0.0003764
                     43,                0.40767,                0.48974,                 1.0232,                0.83097,                 0.5181,                0.50245,                0.37968,                0.75528,                 0.7726,                 1.4156,              0.0003368,              0.0003368,              0.0003368
                     44,                0.40617,                0.45926,                 1.0055,                0.90651,                0.57895,                0.56819,                 0.4773,                0.61925,                 0.6098,                 1.2373,              0.0002972,              0.0002972,              0.0002972
                     45,                0.37423,                0.42108,                0.98292,                0.89212,                0.47368,                0.46581,                0.41124,                0.52664,                0.56647,                 1.0588,              0.0002576,              0.0002576,              0.0002576
                     46,                 0.3805,                0.42182,                0.98655,                0.91246,                0.57895,                 0.5723,                0.51284,                0.44485,                0.49673,                0.98119,               0.000218,               0.000218,               0.000218
                     47,                0.35288,                 0.3685,                0.98169,                  0.904,                0.57895,                0.57228,                0.50827,                0.41738,                  0.453,                0.94699,              0.0001784,              0.0001784,              0.0001784
                     48,                0.34685,                0.37603,                  0.977,                      1,                0.46756,                0.47674,                 0.4288,                0.40338,                0.44568,                0.93508,              0.0001388,              0.0001388,              0.0001388
                     49,                0.34189,                0.39357,                0.98086,                      1,                0.89138,                0.89537,                0.81228,                  0.403,                0.44361,                0.93713,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.33538,                0.35494,                0.94413,                0.98889,                0.47368,                0.47666,                0.41834,                0.41028,                0.44468,                0.94565,               5.96e-05,               5.96e-05,               5.96e-05
